, 1-1-2007
, 2-1-2007
, 3-1-2007
, 4-1-2007
, 5-1-2007
, 6-1-2007
, 7-1-2007
, 8-1-2007
, 9-1-2007
, 10-1-2007
, 11-1-2007
, 12-1-2007
, 1-1-2008
, 2-1-2008
, 3-1-2008
, 4-1-2008
, 5-1-2008
, 6-1-2008
, 7-1-2008
, 8-1-2008
, 9-1-2008
, 10-1-2008
, 11-1-2008
, 12-1-2008
, 1-1-2009
, 2-1-2009
, 3-1-2009
, 4-1-2009
, 5-1-2009
, 6-1-2009
, 7-1-2009
, 8-1-2009
, 9-1-2009
, 10-1-2009
, 11-1-2009
, 12-1-2009
, 1-1-2010
, 2-1-2010
, 3-1-2010
, 4-1-2010
, 5-1-2010
, 6-1-2010
, 7-1-2010
, 8-1-2010
, 9-1-2010
, 10-1-2010
, 11-1-2010
, 12-1-2010
, 1-1-2011
, 2-1-2011
, 3-1-2011
, 4-1-2011
, 5-1-2011
, 6-1-2011
, 7-1-2011
, 8-1-2011
, 9-1-2011
, 10-1-2011
, 11-1-2011
, 12-1-2011
, 1-1-2012
, 2-1-2012
, 3-1-2012
, 4-1-2012
, 5-1-2012
, 6-1-2012
, 7-1-2012
, 8-1-2012
, 9-1-2012
, 10-1-2012
, 11-1-2012
, 12-1-2012
1.3000040000000013, 0.20000100000000032, -0.11999899999999997, -0.16999799999999965, 35.119999, 34.830002, 1-1-2013
0.8400000000000034, -0.16999799999999965, -0.21000300000000038, -0.22999999999999687, 34.830002, 34.389999, 1-2-2013
0.6399990000000031, -0.22999999999999687, -0.23999700000000246, 0.30999700000000274, 34.389999, 34.459999, 1-3-2013
1.2999989999999997, 0.30999700000000274, -0.16999800000000675, -0.5800019999999932, 34.459999, 33.709999, 1-4-2013
1.2799980000000062, -0.5800019999999932, -0.09999800000000647, 0.29000100000000373, 33.709999, 33.900002, 1-5-2013
0.3400000000000034, 0.29000100000000373, -0.24000200000000405, 0.3400000000000034, 33.900002, 34.0, 1-6-2013
0.6699979999999996, 0.3400000000000034, -0.4099999999999966, 0.25999799999999595, 34.0, 33.849998, 1-7-2013
0.5500040000000013, 0.25999799999999595, 0.1600000000000037, 0.08000200000000035, 33.849998, 34.09, 1-8-2013
0.4500010000000003, 0.08000200000000035, -0.38000100000000003, 0.889998999999996, 34.09, 34.599998, 1-9-2013
1.010002, 0.889998999999996, -0.12999699999999592, 1.0699999999999932, 34.599998, 35.540001, 1-10-2013
1.0899999999999963, 1.0699999999999932, 0.20999900000000338, 0.6699979999999996, 35.540001, 36.419998, 1-11-2013
0.9500010000000003, 0.6699979999999996, 0.010002000000000066, 0.8900000000000006, 36.419998, 37.32, 1-12-2013
1.2799990000000037, 0.8900000000000006, -0.3400000000000034, -0.5600019999999972, 37.32, 36.419998, 1-13-2013
1.3200000000000003, -0.5600019999999972, 0.49000199999999694, 0.8899990000000031, 36.419998, 37.799999, 1-14-2013
1.3400000000000034, 0.8899990000000031, -0.00999800000000306, -0.33000199999999325, 37.799999, 37.459999, 1-15-2013
1.2900000000000063, -0.33000199999999325, 0.06000099999999975, 0.07999799999999624, 37.459999, 37.599998, 1-16-2013
1.2000010000000003, 0.07999799999999624, 0.05000400000000127, -0.7600029999999975, 37.599998, 36.889999, 1-17-2013
1.1599999999999966, -0.7600029999999975, -0.17999999999999972, 0.6000019999999964, 36.889999, 37.310001, 1-18-2013
1.2099990000000034, 0.6000019999999964, -0.5, 0.11999899999999997, 37.310001, 36.93, 1-19-2013
0.7199979999999968, 0.11999899999999997, -0.0899999999999963, -0.15000100000000316, 36.93, 36.689999, 1-20-2013
0.6599999999999966, -0.15000100000000316, 0.15000100000000316, 0.3399999999999963, 36.689999, 37.18, 1-21-2013
0.6800009999999972, 0.3399999999999963, -0.5400009999999966, 0.6399999999999935, 37.18, 37.279999, 2-1-2013
0.75, 0.6399999999999935, 0.1399990000000031, -0.21999699999999933, 37.279999, 37.200001, 2-2-2013
0.5499999999999972, -0.21999699999999933, -0.24000199999999694, 0.17999999999999972, 37.200001, 37.139999, 2-3-2013
0.41999799999999965, 0.17999999999999972, 0.4300009999999972, -1.1500020000000006, 37.139999, 36.419998, 2-4-2013
1.7700010000000006, -1.1500020000000006, -0.04999899999999968, -0.11999899999999997, 36.419998, 36.25, 2-5-2013
0.5899959999999993, -0.11999899999999997, -0.11999899999999997, -0.28000300000000067, 36.25, 35.849998, 2-6-2013
0.4299999999999997, -0.28000300000000067, -0.07999799999999624, -0.3500020000000035, 35.849998, 35.419998, 2-7-2013
0.7000010000000003, -0.3500020000000035, 0.0, -0.14999799999999652, 35.419998, 35.27, 2-8-2013
0.41999799999999965, -0.14999799999999652, -0.22000100000000344, 1.5200010000000006, 35.27, 36.57, 2-9-2013
1.7200019999999938, 1.5200010000000006, 0.35999999999999943, 0.6500020000000006, 36.57, 37.580002, 2-10-2013
0.880001, 0.6500020000000006, -0.04000100000000373, 0.6499980000000036, 37.580002, 38.189999, 2-11-2013
1.2200010000000034, 0.6499980000000036, -0.02999900000000366, 0.4500010000000003, 38.189999, 38.610001, 2-12-2013
1.5200000000000031, 0.4500010000000003, -0.11999899999999997, 0.2899969999999996, 38.610001, 38.779999, 2-13-2013
0.8399999999999963, 0.2899969999999996, 0.010002000000000066, -0.33000199999999325, 38.779999, 38.459999, 2-14-2013
0.7099989999999963, -0.33000199999999325, 0.08000199999999325, -1.1700019999999967, 38.459999, 37.369999, 2-15-2013
1.240001999999997, -1.1700019999999967, 0.2299989999999994, -0.509997999999996, 37.369999, 37.09, 2-16-2013
