0.3333333333333333, 0.7272727272727273,0.9900020000000005, -0.27000099999999705, -0.07000000000000028, 0.26000099999999904, 24.629999, 24.82, 1-1-2007
0.05, 0.6263736263736264,0.729999000000003, 0.26000099999999904, -0.11999899999999997, 0.09999799999999937, 24.82, 24.799999, 1-2-2007
0.38461538461538464, 0.5714285714285714,0.620001000000002, 0.09999799999999937, -0.02999900000000011, 0.19999900000000181, 24.799999, 24.969999, 1-3-2007
0.5, 0.6818181818181818,0.9000020000000006, 0.19999900000000181, 0.0799999999999983, -0.04999899999999968, 24.969999, 25.0, 1-4-2007
0.0, 0.9166666666666666,0.47999900000000295, -0.04999899999999968, -0.08999999999999986, -0.3500009999999989, 25.0, 24.559999, 1-5-2007
0.18181818181818182, 0.5714285714285714,0.5599999999999987, -0.3500009999999989, 0.07000000000000028, 0.75, 24.559999, 25.379999, 1-6-2007
0.06666666666666667, 0.5,1.3100019999999972, 0.75, -0.049999000000003235, 0.5800000000000018, 25.379999, 25.91, 1-7-2007
0.3, 0.7875,0.6399990000000031, 0.5800000000000018, 0.0, 0.7000010000000003, 25.91, 26.610001, 1-8-2007
0.2777777777777778, 0.6666666666666666,0.8099999999999987, 0.7000010000000003, 0.00999999999999801, -0.5899999999999999, 26.610001, 26.030001, 1-9-2007
0.6, 0.7288135593220338,0.640000999999998, -0.5899999999999999, -0.060001999999997224, -0.5699990000000028, 26.030001, 25.4, 1-10-2007
0.13333333333333333, 0.75,1.4099990000000027, -0.5699990000000028, 0.10000000000000142, 0.0799999999999983, 25.4, 25.58, 1-11-2007
0.3333333333333333, 0.7,0.5399989999999981, 0.0799999999999983, 0.0, -0.5699999999999967, 25.58, 25.01, 1-12-2007
0.5454545454545454, 0.7358490566037735,0.75, -0.5699999999999967, -0.030000000000001137, 0.030000000000001137, 25.01, 25.01, 1-13-2007
0.2631578947368421, 0.7936507936507936,0.879998999999998, 0.030000000000001137, 0.0, 0.6499999999999986, 25.01, 25.66, 1-14-2007
0.2727272727272727, 0.6857142857142857,0.8300000000000018, 0.6499999999999986, -0.0200010000000006, -0.6699999999999982, 25.66, 24.969999, 1-15-2007
0.2631578947368421, 0.5686274509803921,1.0300009999999986, -0.6699999999999982, 0.08999999999999986, -0.06999900000000281, 24.969999, 24.99, 1-16-2007
0.5, 0.7872340425531915,0.7700010000000006, -0.06999900000000281, -0.00999999999999801, -0.10999900000000196, 24.99, 24.870001, 1-17-2007
0.07692307692307693, 0.6463414634146342,0.7200019999999974, -0.10999900000000196, 0.12999900000000153, -0.019999999999999574, 24.870001, 24.98, 1-18-2007
0.20833333333333334, 0.5522388059701493,0.34000099999999733, -0.019999999999999574, 0.00999999999999801, -0.06999999999999673, 24.98, 24.92, 1-19-2007
0.3076923076923077, 0.6470588235294118,0.5200010000000006, -0.06999999999999673, 0.16999999999999815, 0.75, 24.92, 25.84, 1-20-2007
0.2777777777777778, 0.6764705882352942,0.7600000000000016, 0.75, -0.12000099999999847, 0.02000099999999705, 25.84, 25.74, 2-1-2007
0.3333333333333333, 0.7073170731707317,0.8799990000000015, 0.02000099999999705, -0.1000009999999989, -0.04999899999999968, 25.74, 25.59, 2-2-2007
0.375, 0.6222222222222222,0.8300020000000004, -0.04999899999999968, -0.7399999999999984, 0.04999999999999716, 25.59, 24.9, 2-3-2007
0.25, 0.7339449541284404,1.369999, 0.04999999999999716, -0.1000009999999989, -0.2999989999999997, 24.9, 24.5, 2-4-2007
0.55, 0.7575757575757576,3.419999999999998, -0.2999989999999997, 0.0, -1.0, 24.5, 23.5, 2-5-2007
0.2727272727272727, 0.6363636363636364,1.2900010000000002, -1.0, 0.10000000000000142, -0.120000000000001, 23.5, 23.48, 2-6-2007
0.25, 0.7796610169491526,0.5100000000000016, -0.120000000000001, -0.010000999999999038, 0.23000199999999893, 23.48, 23.700001, 2-7-2007
0.26666666666666666, 0.6724137931034483,0.6799999999999997, 0.23000199999999893, 0.009997999999999507, 0.08999999999999986, 23.700001, 23.799999, 2-8-2007
0.2, 0.53125,0.4699990000000014, 0.08999999999999986, 0.0, -0.01999800000000107, 23.799999, 23.780001, 2-9-2007
0.631578947368421, 0.6296296296296297,0.33999999999999986, -0.01999800000000107, 0.01999800000000107, 0.23000199999999893, 23.780001, 24.030001, 2-10-2007
0.3333333333333333, 0.5897435897435898,0.6700009999999992, 0.23000199999999893, 0.0, 0.059999000000001246, 24.030001, 24.09, 2-11-2007
0.4, 0.6857142857142857,0.4400000000000013, 0.059999000000001246, -0.13999899999999954, 0.75, 24.09, 24.700001, 2-12-2007
0.4827586206896552, 0.6666666666666666,1.1599989999999991, 0.75, 0.0, -0.06000200000000078, 24.700001, 24.639999, 2-13-2007
0.4, 0.6951219512195121,0.6800010000000007, -0.06000200000000078, 0.0, 0.14000199999999907, 24.639999, 24.780001, 2-14-2007
0.14285714285714285, 0.7222222222222222,0.40000200000000063, 0.14000199999999907, 0.0, -0.4500010000000003, 24.780001, 24.33, 2-15-2007
0.5, 0.8571428571428571,0.5799999999999983, -0.4500010000000003, 0.010000000000001563, -0.16999999999999815, 24.33, 24.17, 2-16-2007
0.5714285714285714, 0.696969696969697,0.44000099999999875, -0.16999999999999815, -0.1700000000000017, -0.19000099999999875, 24.17, 23.809999, 2-17-2007
0.21428571428571427, 0.6481481481481481,0.5899980000000014, -0.19000099999999875, 0.0, 0.2800009999999986, 23.809999, 24.09, 2-18-2007
0.2608695652173913, 0.6163793103448276,1.7000010000000003, 0.8500000000000014, -0.06999900000000281, -0.6800009999999972, 24.6, 23.85, 3-1-2007
